Date,Close,High,Low,Open,Volume,SMA_50,SMA_200,EMA_12,EMA_26,MACD,Signal,RSI,SMA_20,BB_Upper,BB_Lower,L14,H14,%K,%D,High-Low,High-Close,Low-Close,True Range,ATR,OBV,News_Sentiment
2022-12-09,140.52609252929688,143.89690343111556,139.2805646427551,140.70401646542416,76097000,143.36525848388672,151.2669408416748,143.04988824141338,144.00460497477022,-0.9547167333568324,-0.2925930613591648,36.14565975402314,145.36089401245118,152.14277281827472,138.57901520662764,138.3909458890047,150.08498469071404,18.25841932213773,15.508718172234188,4.616338788360451,2.8864206430296235,1.729918145330828,4.616338788360451,4.038048638135708,177585400,0.0
2022-12-12,142.829345703125,142.83922534059286,139.43875970806542,141.05991017433828,70462700,143.4941372680664,151.1699803161621,143.01595862013824,143.91754873242613,-0.9015901122878917,-0.4143924715449102,44.50003617857745,145.10338897705077,151.85767298153507,138.3491049725665,138.3909458890047,150.08498469071404,37.95437905586546,25.692975722810065,3.4004656325274425,2.3131328112959864,1.087332821231456,3.4004656325274425,4.028870853867782,248048100,0.0
2022-12-13,143.79806518554688,148.24634516014598,142.58220621584587,147.78174582279246,93886200,143.55850708007813,151.0765350341797,143.13628270712417,143.90869809932394,-0.7724153921997754,-0.4859970556758832,42.35637340884598,144.96450424194336,151.70553163001682,138.2234768538699,138.3909458890047,150.08498469071404,46.23825341924997,34.1503505990844,5.664138944300106,5.416999457020978,0.2471394872791279,5.664138944300106,4.187031212502745,341934300,0.0
2022-12-14,141.56405639648438,144.97440162134333,139.53761456960953,143.67946020964052,82291200,143.50615539550782,150.9813665008545,142.8944017362565,143.73502093615065,-0.8406191998941495,-0.5569214845195365,37.78742048642808,144.6269302368164,151.33750936085698,137.91635111277583,138.3909458890047,149.18541949197922,29.395694722078243,37.8627757323979,5.436787051733802,1.1763364357964576,4.260450615937344,5.436787051733802,4.399559767112862,259643100,0.0
2022-12-15,134.93115234375,140.17024039649047,134.46655303010576,139.48816842184618,98931900,143.3152243041992,150.8365013885498,141.66928644510165,143.08288252189874,-1.4135960767970914,-0.7282564029750476,33.84357811191674,144.01949310302734,151.8936730021977,136.145313203857,134.46655303010576,149.18541949197922,3.15648840769184,26.26347884967336,5.703687366384713,1.3938159999939046,7.097503366378618,7.097503366378618,4.627620560131348,160711200,0.0
2022-12-16,132.96401977539062,136.06792995299983,132.19298581991796,135.1189720463015,160156900,143.1040966796875,150.68342445373534,140.3300146497615,142.33333713326851,-2.00332248350702,-0.983269619081442,35.7331200780928,143.2183074951172,152.15333606698522,134.28327892324916,132.19298581991796,149.18541949197922,4.537513403362635,12.363232177710914,3.874944133081869,1.1367776092498332,2.738166523832035,3.874944133081869,4.570431750578172,554300,0.0
2022-12-19,130.84861755371094,133.6460931216457,129.8106976607881,133.5571311451233,79592600,142.95605743408203,150.5348265838623,138.87133817344602,141.4826171644124,-2.611278990966383,-1.3088714934584305,36.71492968879625,142.2831802368164,152.2792837742406,132.2870766993922,129.8106976607881,149.18541949197922,5.357082810852878,4.350361540635794,3.835395460857626,0.6820733462550663,3.15332211460256,3.835395460857626,4.529479154840999,-79038300,0.0
2022-12-20,130.7794189453125,131.71849714656037,128.39711455138564,129.87987436917055,77432800,142.8001217651367,150.40492393493653,137.62642752296395,140.6897876667013,-3.063360143737356,-1.6597692235142156,20.129094288076075,141.50670776367187,152.54446189010864,130.4689536372351,128.39711455138564,149.18541949197922,11.459829941017968,7.118142051744504,3.3213825951747253,0.8698795928494292,2.451503002325296,3.3213825951747253,4.189856638075343,-156471100,0.0
2022-12-21,133.89320373535156,135.23757319201226,131.22423917558152,131.45159144947942,85928000,142.73488342285157,150.29974197387696,137.0520854017928,140.18633700511984,-3.134251603327044,-1.9546656994767817,27.97943813281161,140.77867126464844,151.80784624949547,129.7494962798014,128.39711455138564,149.18541949197922,26.4383709946897,14.418427915520192,4.013334016430747,4.458154246699763,0.4448202302690163,4.458154246699763,4.33036474196927,-70543100,0.0
2022-12-22,130.71022033691406,133.0134424692819,128.802409885042,132.80586453500828,77852100,142.6186166381836,150.15153434753418,136.07641385334992,139.4844024371046,-3.4079885837546726,-2.24533027633236,25.595214779287065,139.84749603271484,150.97967643914427,128.71531562628542,128.39711455138564,149.18541949197922,11.1269571618623,16.341719365856665,4.211032584239888,0.8797612660696643,5.090793850309552,5.090793850309552,4.5061778521276965,-148395200,0.0
